"instance","date","disease_state","value","age","race","hcez"
1,2024-11-13,"Exposed",240.135891304395,"0-17","Hispanic","North/Central"
1,2024-11-14,"Exposed",236.777688049172,"0-17","Hispanic","North/Central"
1,2024-11-15,"Exposed",233.711784308574,"0-17","Hispanic","North/Central"
1,2024-11-16,"Exposed",228.833845403104,"0-17","Hispanic","North/Central"
1,2024-11-17,"Exposed",225.997424476952,"0-17","Hispanic","North/Central"
1,2024-11-18,"Exposed",224.579186302165,"0-17","Hispanic","North/Central"
1,2024-11-19,"Exposed",222.943074711983,"0-17","Hispanic","North/Central"
1,2024-11-20,"Exposed",220.785118691447,"0-17","Hispanic","North/Central"
1,2024-11-21,"Exposed",218.996018092624,"0-17","Hispanic","North/Central"
1,2024-11-22,"Exposed",217.890309891404,"0-17","Hispanic","North/Central"
1,2024-11-23,"Exposed",214.62601530123,"0-17","Hispanic","North/Central"
1,2024-11-24,"Exposed",213.525741373779,"0-17","Hispanic","North/Central"
1,2024-11-25,"Exposed",213.043910735047,"0-17","Hispanic","North/Central"
1,2024-11-26,"Exposed",212.368647335564,"0-17","Hispanic","North/Central"
1,2024-11-27,"Exposed",211.471722062867,"0-17","Hispanic","North/Central"
1,2024-11-28,"Exposed",210.401748524791,"0-17","Hispanic","North/Central"
1,2024-11-29,"Exposed",209.606615885548,"0-17","Hispanic","North/Central"
1,2024-11-30,"Exposed",207.508553399518,"0-17","Hispanic","North/Central"
1,2024-12-01,"Exposed",207.024132297911,"0-17","Hispanic","North/Central"
1,2024-12-02,"Exposed",207.580165413202,"0-17","Hispanic","North/Central"
1,2024-12-03,"Exposed",207.896461507632,"0-17","Hispanic","North/Central"
1,2024-12-04,"Exposed",207.765674008711,"0-17","Hispanic","North/Central"
1,2024-12-05,"Exposed",207.381830451589,"0-17","Hispanic","North/Central"
1,2024-12-06,"Exposed",207.142173243419,"0-17","Hispanic","North/Central"
1,2024-12-07,"Exposed",205.970787596371,"0-17","Hispanic","North/Central"
1,2024-12-08,"Exposed",205.765803233337,"0-17","Hispanic","North/Central"
1,2024-12-09,"Exposed",206.537310718802,"0-17","Hispanic","North/Central"
1,2024-12-10,"Exposed",206.989025010703,"0-17","Hispanic","North/Central"
1,2024-12-11,"Exposed",207.015180245389,"0-17","Hispanic","North/Central"
